# Configuration mp1 mp2 x1 x2 p Sx/M^2 Sy/M^2 Sz/M^2 mH1 mH2
NTH15PH0 0.307753 0.487740 4.077900 -4.307566 0.107293 0.000000 0.053084 0.198112 0.507321 0.504754
NTH15PH30 0.307762 0.487741 4.077900 -4.307566 0.107293 -0.026542 0.045972 0.198112 0.507322  0.504756
NTH15PH60 0.307779 0.487745 4.077900 -4.307566 0.107293 -0.045972 0.026542 0.198112 0.507321  0.504759
NTH15PH90 0.307786 0.487747 4.077900 -4.307566 0.107293 -0.053084 0.000000 0.198112 0.507321  0.504761
NTH15PH120 0.307777 0.487745 4.077900 -4.307566 0.107293 -0.045972 -0.026542 0.198112 0.507319  0.504759
NTH15PH150 0.307763 0.487741 4.077900 -4.307566 0.107293 -0.026542 -0.045972 0.198112 0.507321  0.504755
NTH30PH0 0.307652 0.487705 4.098641 -4.304988 0.107491 0.000000 0.102538 0.177601 0.507291 0.504702
NTH30PH30 0.307686 0.487710 4.098641 -4.304988 0.107491 -0.051269 0.088800 0.177601 0.507293  0.504708
NTH30PH60 0.307744 0.487725 4.098641 -4.304988 0.107491 -0.088800 0.051269 0.177601 0.507291  0.504721
NTH30PH90 0.307775 0.487731 4.098641 -4.304988 0.107491 -0.102538 0.000000 0.177601 0.507288  0.504727
NTH30PH120 0.307745 0.487725 4.098641 -4.304988 0.107491 -0.088800 -0.051269 0.177601 0.507287  0.504720
NTH30PH150 0.307685 0.487711 4.098641 -4.304988 0.107491 -0.051269 -0.088800 0.177601 0.507289  0.504707
NTH45PH0 0.307512 0.487654 4.131521 -4.300556 0.107804 0.000000 0.144983 0.144983 0.507241  0.504625
NTH45PH10 0.307522 0.487655 4.131521 -4.300556 0.107804 -0.025176 0.142780 0.144983 0.507244  0.504626
NTH45PH20 0.307544 0.487659 4.131521 -4.300556 0.107804 -0.049587 0.136239 0.144983 0.507244  0.504631
NTH45PH30 0.307584 0.487664 4.131521 -4.300556 0.107804 -0.072491 0.125559 0.144983 0.507246  0.504635
NTH45PH40 0.307615 0.487676 4.131521 -4.300556 0.107804 -0.093193 0.111063 0.144983 0.507242  0.504647
NTH45PH45 0.307636 0.487681 4.131521 -4.300556 0.107804 -0.102518 0.102518 0.144983 0.507242  0.504651
NTH45PH50 0.307658 0.487685 4.131521 -4.300556 0.107804 -0.111063 0.093193 0.144983 0.507241  0.504655
NTH45PH60 0.307700 0.487693 4.131521 -4.300556 0.107804 -0.125559 0.072491 0.144983 0.507240  0.504663
NTH45PH75 0.307746 0.487703 4.131521 -4.300556 0.107804 -0.140042 0.037524 0.144983 0.507238  0.504671
NTH45PH90 0.307757 0.487708 4.131521 -4.300556 0.107804 -0.144983 0.000000 0.144983 0.507233  0.504675
NTH45PH975 0.307755 0.487707 4.131521 -4.300556 0.107804 -0.143742 -0.018924 0.144983 0.507233  0.504673
NTH45PH120 0.307699 0.487694 4.131521 -4.300556 0.107804 -0.125559 -0.072491 0.144983 0.507230  0.504660
NTH45PH1125 0.307723 0.487700 4.131521 -4.300556 0.107804 -0.133947 -0.055482 0.144983 0.507229  0.504666
NTH45PH1275 0.307668 0.487688 4.131521 -4.300556 0.107804 -0.115022 -0.088260 0.144983 0.507229  0.504655
NTH45PH150 0.307581 0.487665 4.131521 -4.300556 0.107804 -0.072491 -0.125559 0.144983 0.507236  0.504634
NTH60PH0 0.307374 0.487595 4.174170 -4.294196 0.108211 0.000000 0.177524 0.102493 0.507180 0.504534
NTH60PH30 0.307465 0.487616 4.174170 -4.294196 0.108211 -0.088762 0.153740 0.102493 0.507184  0.504556
NTH60PH60 0.307656 0.487656 4.174170 -4.294196 0.108211 -0.153740 0.088762 0.102493 0.507180  0.504592
NTH60PH90 0.307743 0.487679 4.174170 -4.294196 0.108211 -0.177524 0.000000 0.102493 0.507170  0.504611
NTH60PH120 0.307652 0.487657 4.174170 -4.294196 0.108211 -0.153740 -0.088762 0.102493 0.507164  0.504589
NTH60PH150 0.307465 0.487617 4.174170 -4.294196 0.108211 -0.088762 -0.153740 0.102493 0.507169  0.504552
NTH120PH0 0.307974 0.488280 4.661137 -4.542010 0.105032 0.000000 0.177129 -0.102265 0.506644 0.504014
NTH120PH30 0.308059 0.488303 4.661137 -4.542010 0.105032 -0.088564 0.153398 -0.102265 0.506646  0.504037
NTH120PH60 0.308241 0.488342 4.661137 -4.542010 0.105032 -0.153398 0.088564 -0.102265 0.506642  0.504073
NTH120PH90 0.308327 0.488364 4.661137 -4.542010 0.105032 -0.177129 0.000000 -0.102265 0.506634  0.504090
NTH120PH120 0.308241 0.488342 4.661137 -4.542010 0.105032 -0.153398 -0.088564 -0.102265 0.506630  0.504068
NTH120PH150 0.308058 0.488303 4.661137 -4.542010 0.105032 -0.088564 -0.153398 -0.102265 0.506635  0.504032
NTH135PH0 0.308101 0.488288 4.701321 -4.532307 0.105392 0.000000 0.144599 -0.144599 0.506603 0.504004
NTH135PH30 0.308159 0.488302 4.701321 -4.532307 0.105392 -0.072299 0.125226 -0.144599 0.506602  0.504019
NTH135PH60 0.308281 0.488329 4.701321 -4.532307 0.105392 -0.125226 0.072299 -0.144599 0.506600  0.504043
NTH135PH90 0.308342 0.488343 4.701321 -4.532307 0.105392 -0.144599 0.000000 -0.144599 0.506597  0.504053
NTH135PH120 0.308282 0.488329 4.701321 -4.532307 0.105392 -0.125226 -0.072299 -0.144599 0.506591  0.504039
NTH135PH150 0.308161 0.488301 4.701321 -4.532307 0.105392 -0.072299 -0.125226 -0.144599 0.506595  0.504014
NTH165PH0 0.308524 0.488582 4.854936 -4.625367 0.104087 0.000000 0.052895 -0.197408 0.506462 0.503917
NTH165PH30 0.308529 0.488584 4.854936 -4.625367 0.104087 -0.026448 0.045809 -0.197408 0.506461  0.503920
NTH165PH60 0.308549 0.488587 4.854936 -4.625367 0.104087 -0.045809 0.026448 -0.197408 0.506463  0.503922
NTH165PH90 0.308553 0.488590 4.854936 -4.625367 0.104087 -0.052895 0.000000 -0.197408 0.506461  0.503925
NTH165PH120 0.308545 0.488588 4.854936 -4.625367 0.104087 -0.045809 -0.026448 -0.197408 0.506461  0.503923
NTH165PH150 0.308529 0.488584 4.854936 -4.625367 0.104087 -0.026448 -0.045809 -0.197408 0.506460  0.503919
#Table XII of 1211.7099
STH45PH0 0.302923 0.303004 4.194252 -4.534000 0.107508 0.000000 0.144813 0.144813 0.505422 0.505411
STH45PH30 0.303051 0.303137 4.194252 -4.534000 0.107508 -0.072406 0.125412 0.144813 0.505446 0.505436
STH45PH60 0.303313 0.303398 4.194252 -4.534000 0.107508 -0.125412 0.072406 0.144813 0.505482 0.505474
STH45PH90 0.303442 0.303531 4.194252 -4.534000 0.107508 -0.144813 0.000000 0.144813 0.505496 0.505488
STH45PH120 0.303312 0.303400 4.194252 -4.534000 0.107508 -0.125412 -0.072406 0.144813 0.505468 0.505461
STH45PH150 0.303051 0.303137 4.194252 -4.534000 0.107508 -0.072406 -0.125412 0.144813 0.505433 0.505424
KTH45PH0 0.303010 0.303092 4.187859 -4.527100 0.107491 0.000000 0.144822 0.144822 0.505460 0.505454
KTH45PH30 0.303090 0.303173 4.187859 -4.527100 0.107491 -0.072411 0.125419 0.144822 0.505469 0.505459
KTH45PH60 0.303250 0.303335 4.187859 -4.527100 0.107491 -0.125419 0.072411 0.144822 0.505474 0.505464
KTH45PH90 0.303330 0.303416 4.187859 -4.527100 0.107491 -0.144822 0.000000 0.144822 0.505471 0.505465
KTH45PH105 0.303310 0.303393 4.187859 -4.527100 0.107491 -0.139887 -0.037483 0.144822 0.505466 0.505462
KTH45PH120 0.303249 0.303336 4.187859 -4.527100 0.107491 -0.125419 -0.072411 0.144822 0.505460 0.505458
KTH45PH135 0.303171 0.303254 4.187859 -4.527100 0.107491 -0.102404 -0.102404 0.144822 0.505457 0.505454
KTH45PH150 0.303091 0.303173 4.187859 -4.527100 0.107491 -0.072411 -0.125419 0.144822 0.505456 0.505452
KTH45PH165 0.303028 0.303118 4.187859 -4.527100 0.107491 -0.037483 -0.139887 0.144822 0.505456 0.505454
