# Configuration Mrad dMrad Jx dJx dJy dJy dJz dJy Vx dVx Vy dVy Vz dVz
# Table XV of 1211.7099
NTH15PH0 0.0494 0.0001 -0.0015 0.0008 0.0199 0.0023 0.3690 0.0023 75 22 113 5 -456 2
NTH15PH30 0.0493 0.0001 -0.0090 0.0004 0.0154 0.0005 0.3687 0.0024 75 21 121 5 -248 2
NTH15PH60 0.0492 0.0001 -0.0140 0.0016 0.0068 0.0015 0.3685 0.0025 67 21 126 5 21 1
NTH15PH90 0.0492 0.0001 -0.0153 0.0022 -0.0035 0.0029 0.3690 0.0021 60 21 125 4 286 1
NTH15PH120 0.0493 0.0001 -0.0126 0.0022 -0.0129 0.0037 0.3689 0.0025 59 21 117 5 482 2
NTH15PH150 0.0494 0.0001 -0.0065 0.0017 -0.0189 0.0035 0.3692 0.0023 68 22 111 5 546 2
NTH30PH0 0.0481 0.0001 -0.0040 0.0021 0.0377 0.0036 0.3588 0.0028 129 21 41 6 -548 3
NTH30PH30 0.0478 0.0001 -0.0194 0.0009 0.0285 0.0003 0.3576 0.0032 116 19 71 5 -58 2
NTH30PH60 0.0477 0.0001 -0.0288 0.0015 0.0120 0.0039 0.3575 0.0035 85 16 81 6 417 1
NTH30PH90 0.0480 0.0001 -0.0324 0.0013 -0.0075 0.0060 0.3587 0.0036 64 16 61 7 809 2
NTH30PH120 0.0483 0.0001 -0.0271 0.0010 -0.0252 0.0070 0.3602 0.0031 74 18 30 8 1019 3
NTH30PH150 0.0483 0.0001 -0.0140 0.0011 -0.0362 0.0059 0.3601 0.0029 108 20 19 8 927 3
NTH45PH0 0.0456 0.0001 -0.0075 0.0041 0.0507 0.0015 0.3410 0.0039 103 12 -6 4 190 1
NTH45PH10 0.0456 0.0001 -0.0167 0.0051 0.0481 0.0000 0.3409 0.0041 85 11 10 3 425 1
NTH45PH20 0.0456 0.0001 -0.0258 0.0063 0.0445 0.0010 0.3412 0.0042 63 10 19 3 636 1
NTH45PH30 0.0457 0.0001 -0.0334 0.0066 0.0395 0.0021 0.3419 0.0041 40 10 20 3 820 1
NTH45PH40 0.0459 0.0001 -0.0397 0.0064 0.0331 0.0031 0.3422 0.0045 20 8 16 3 967 1
NTH45PH45 0.0459 0.0001 -0.0425 0.0063 0.0297 0.0035 0.3425 0.0046 12 8 12 3 1026 1
NTH45PH50 0.0460 0.0001 -0.0455 0.0068 0.0261 0.0038 0.3426 0.0049 3 8 5 3 1089 1
NTH45PH60 0.0462 0.0001 -0.0491 0.0062 0.0177 0.0049 0.3432 0.0051 -9 7 -10 4 1191 2
NTH45PH75 0.0464 0.0001 -0.0535 0.0069 0.0056 0.0048 0.3445 0.0049 -18 7 -41 4 1318 3
NTH45PH90 0.0466 0.0001 -0.0548 0.0074 -0.0081 0.0061 0.3455 0.0045 -11 8 -74 4 1380 3
NTH45PH975 0.0466 0.0001 -0.0530 0.0068 -0.0150 0.0065 0.3453 0.0048 -1 7 -89 6 1378 3
NTH45PH120 0.0466 0.0001 -0.0441 0.0052 -0.0338 0.0075 0.3452 0.0043 47 9 -111 6 1217 3
NTH45PH1125 0.0466 0.0001 -0.0480 0.0059 -0.0281 0.0075 0.3454 0.0045 29 9 -108 6 1297 3
NTH45PH1275 0.0465 0.0001 -0.0394 0.0042 -0.0388 0.0073 0.3448 0.0042 65 10 -110 7 1114 3
NTH45PH150 0.0460 0.0001 -0.0211 0.0003 -0.0494 0.0058 0.3431 0.0037 110 12 -76 6 633 2
NTH60PH0 0.0440 0.0001 -0.0101 0.0070 0.0640 0.0008 0.3260 0.0042 -109 4 121 1 1435 5
NTH60PH30 0.0444 0.0001 -0.0449 0.0119 0.0525 0.0003 0.3271 0.0048 -202 2 46 1 1568 4
NTH60PH60 0.0443 0.0001 -0.0674 0.0138 0.0269 0.0015 0.3275 0.0044 -194 3 -71 3 1447 3
NTH60PH90 0.0438 0.0000 -0.0736 0.0141 -0.0051 0.0015 0.3263 0.0036 -97 3 -145 3 1050 2
NTH60PH120 0.0430 0.0000 -0.0563 0.0063 -0.0385 0.0044 0.3233 0.0035 25 4 -96 3 227 1
NTH60PH150 0.0430 0.0000 -0.0260 0.0010 -0.0600 0.0041 0.3231 0.0039 26 4 43 3 -743 3
NTH120PH0 0.0333 0.0000 0.0040 0.0049 0.0713 0.0008 0.2683 0.0012 -105 1 48 2 480 3
NTH120PH30 0.0330 0.0000 -0.0339 0.0062 0.0659 0.0018 0.2667 0.0013 -43 2 -117 3 -101 1
NTH120PH60 0.0332 0.0000 -0.0617 0.0040 0.0433 0.0015 0.2678 0.0014 108 3 -145 4 -516 3
NTH120PH90 0.0335 0.0001 -0.0748 0.0021 0.0085 0.0009 0.2710 0.0005 229 4 -40 4 -835 5
NTH120PH120 0.0340 0.0001 -0.0668 0.0007 -0.0289 0.0005 0.2736 0.0001 223 3 147 3 -1155 5
NTH120PH150 0.0339 0.0001 -0.0401 0.0035 -0.0589 0.0010 0.2719 0.0006 26 2 199 2 -1008 5
NTH135PH0 0.0315 0.0000 0.0120 0.0016 0.0597 0.0008 0.2576 0.0016 -103 1 -105 2 -670 3
NTH135PH30 0.0318 0.0000 -0.0204 0.0033 0.0571 0.0001 0.2582 0.0021 21 2 -122 2 -898 5
NTH135PH60 0.0318 0.0000 -0.0464 0.0031 0.0389 0.0009 0.2582 0.0025 95 3 -36 1 -915 6
NTH135PH90 0.0317 0.0000 -0.0594 0.0017 0.0111 0.0005 0.2575 0.0031 66 3 75 1 -772 6
NTH135PH120 0.0314 0.0000 -0.0570 0.0008 -0.0197 0.0004 0.2562 0.0025 -61 1 120 2 -370 4
NTH135PH150 0.0313 0.0000 -0.0402 0.0001 -0.0455 0.0008 0.2560 0.0019 -154 1 22 1 210 1
NTH165PH0 0.0292 0.0001 0.0083 0.0017 0.0220 0.0008 0.2525 0.0023 -98 1 142 3 -288 2
NTH165PH30 0.0292 0.0001 -0.0044 0.0007 0.0212 0.0005 0.2527 0.0022 -82 1 141 3 -333 2
NTH165PH60 0.0292 0.0001 -0.0158 0.0006 0.0146 0.0016 0.2527 0.0022 -75 1 155 3 -293 2
NTH165PH90 0.0292 0.0001 -0.0230 0.0016 0.0041 0.0025 0.2526 0.0021 -84 1 170 3 -176 1
NTH165PH120 0.0292 0.0001 -0.0240 0.0023 -0.0074 0.0025 0.2523 0.0023 -100 1 171 3 -8 1
NTH165PH150 0.0292 0.0001 -0.0187 0.0023 -0.0169 0.0019 0.2523 0.0024 -107 1 157 3 164 1
# Table XVI of 1211.7099
STH45PH0 0.0380 0.0001 -0.0039 0.0022 0.0033 0.0029 0.3026 0.0035 -61 1 255 3 783 3
STH45PH30 0.0371 0.0001 -0.0046 0.0034 0.0018 0.0009 0.2988 0.0036 -14 1 261 2 -471 3
STH45PH60 0.0371 0.0001 -0.0047 0.0043 0.0013 0.0008 0.3000 0.0032 -16 2 265 2 -1335 6
STH45PH90 0.0376 0.0001 -0.0035 0.0040 0.0006 0.0010 0.3036 0.0025 -47 3 265 1 -1835 8
STH45PH120 0.0384 0.0001 -0.0003 0.0017 -0.0016 0.0011 0.3065 0.0025 -70 3 262 1 -2004 8
